canonical_name,display_name,type,occurrences,distinct_works,cross_work,page_refs,name_variants,description
aloes,Aloes,ingredient,1,kieckhefer_clm849,,p. 341,,"quote: ""Die Lune est aloes, anacap, uel simile sibi"""
aloes (aloes),Aloes (aloes),ingredient,1,kieckhefer_clm849,,76r,,"quote: ""Die Lune est aloes, anacap, uel simile sibi"""
altast,Altast,ingredient,2,kieckhefer_clm849,,76r|p. 341,,"quote: ""Die Mercurij est altast aut ei simile"""
anacap,Anacap,ingredient,1,kieckhefer_clm849,,p. 341,,"quote: ""Die Lune est aloes, anacap, uel simile sibi"""
animal fat,animal fat,ingredient,1,kieckhefer_clm849,,intro paragraph,,function: component of unguentum pharelis
aqua benedicta,aqua benedicta,ingredient,2,kieckhefer_clm849,,"304–305|[54r], [136v]",Aqua benedicta|aqua benedicta,function: used in ritual purification and consecration · role: holy water used for aspersion during ritual
aqua benedicta (blessed water),aqua benedicta (blessed water),ingredient,1,kieckhefer_clm849,,"p. 264–265, p. 266",,"quote: ""Habeas aquam Benedictam et aspergas te et circulum..."""
argentum/stagnum (silver/lead),Argentum/stagnum (silver/lead),ingredient,1,kieckhefer_clm849,,fol. 12r,,function: used for casting image in dignity ritual
asafetida,asafetida,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
ashes and flour,ashes and flour,ingredient,1,kieckhefer_clm849,,experiment no. 15,,function: placed in jar #1 for flying throne ritual
assandalum croceum,Assandalum croceum,ingredient,1,kieckhefer_clm849,,p. 341,,"quote: ""Suffumigium dies dominice assandalum croceum vel rubeum uel simile sibi"""
assandarium (assandalum),Assandarium (assandalum),ingredient,1,kieckhefer_clm849,,76r,,"quote: ""Suffumigium dies dominice assandalum croceum vel rubeum uel simile sibi"""
assandaron,Assandaron,ingredient,1,kieckhefer_clm849,,p. 341,,"quote: ""Die Saturni est assandaron et sulphur aut ei simile"""
baaros,Baaros,ingredient,1,scot_1584,,Page 529,,"description: A root mentioned as being one with Solomon's root, having force to drive out devils."
ball/small_ball,ball/small_ball,ingredient,1,scot_1584,,"Page 362, 362",,"description: A small object used in juggling feats, which can be 'swelled' or 'conveyed' through sleight of hand. · nature: can be 'conveyed' or 'vanishing' into nothingness"
balsamum purum,balsamum purum,ingredient,1,kieckhefer_clm849,,"fols 37v, 38v",,"quote: ""in loco secreto vngatur ex puro balsamo ex parte lucida..."""
bat blood,bat blood,ingredient,2,kieckhefer_clm849,,58|fol. 107r–v,,"quote: ""a diagram made with the blood of a hoopoe or a bat"""
bat's blood,bat's blood,ingredient,1,kieckhefer_clm849,,,,"quote: ""seven herbs... the blood of a bat"""
bat’s blood,bat’s blood,ingredient,2,kieckhefer_clm849,,experiment no. 43|p. 75–76,,function: used to inscribe names on door in experiment no. 43
bird blood,bird blood,ingredient,1,kieckhefer_clm849,,Experiment for instruction,,"quote: ""The markings on this cloth are to be made with the blood of a bird, perhaps a hoopoe"""
bird's blood,bird's blood,ingredient,1,kieckhefer_clm849,,"Munich Handbook, CLM 849",,description: used for inscribing names on cloth
bird’s blood,bird’s blood,ingredient,1,kieckhefer_clm849,,intro paragraph,,function: component of unguentum pharelis
black cat (born in march),black cat (born in March),ingredient,1,kieckhefer_clm849,,experiment no. 21,,function: used in invisibility ritual no. 21
black hen feather,black hen feather,ingredient,1,kieckhefer_clm849,,Experiment no. 22,,"quote: ""writing on the vessel with a feather from the left wing of a black hen"""
black hen’s egg,black hen’s egg,ingredient,1,kieckhefer_clm849,,p. 93,,"quote: ""using magic to bring disaffection between a husband and wife; she recited charms [...] over an egg from a blac"""
blessed water,blessed water,ingredient,2,kieckhefer_clm849,,experiment no. 11|p. 78–79,,function: used to purify self and circle
blood,Blood,ingredient,1,kieckhefer_clm849,,[58v],,function: used in divine invocation (cf. Christ's blood)
blood (bird),blood (bird),ingredient,1,kieckhefer_clm849,,145–146,,"quote: ""...write it with the aforementioned blood... If the blood of one bird is not enough, you may kill as many as y"""
blood of bird (hoopoe?),blood of bird (hoopoe?),ingredient,1,kieckhefer_clm849,,first experiment in manuscript,,role: ink for inscribing cloth circle
blood of mole / turtledove / hoopoe / bat,Blood of Mole / Turtledove / Hoopoe / Bat,ingredient,1,liber_juratus,,74-75,,"quote: ""written with the blood either of a mole, a turtledove, or hoopoe, or of a bat."""
borax,borax,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
burning coals,burning coals,ingredient,1,kieckhefer_clm849,,,,"quote: """"over burning coals placed in a pot, without smoke"""""
candle (funeral),candle (funeral),ingredient,1,kieckhefer_clm849,,"p. 91, 94",,"quote: ""made of wax, preferably from candles used at a funeral"""
candle of virgin wax,Candle of virgin wax,ingredient,1,liber_juratus,,37,,"quote: ""Candle of virgin wax. It should be noted that wax was more expensive than tallow candles, but provided a much """
candles,candles,ingredient,2,kieckhefer_clm849,,"71, 74, 75, 113, 119|p. 71, 74, 75, 113, 119 (index)",,function: used in rituals
cantalides,cantalides,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
carbones accensi (burning coals),carbones accensi (burning coals),ingredient,1,kieckhefer_clm849,,"p. 266, No. 12",,"quote: ""...arte virginizatam, et hoc in die Jouis vel in die dominico, hora Veneris vel hora Jouis; ex dicta cera faci"""
carta agni virginea,carta agni virginea,ingredient,1,kieckhefer_clm849,,107v,,function: used to draw protective figure in invisibility ritual
cattus niger,cattus niger,ingredient,1,kieckhefer_clm849,,281 (No. 21),,"quote: ""Studeas invenire vnam cattam nigram, natam in mense Martij..."""
cattus niger (born march),cattus niger (born March),ingredient,1,kieckhefer_clm849,,fol 40v,,"quote: ""Studeas invenire vnam cattam nigram, natam in mense Martij, et exviscera earn..."""
cera (beeswax),Cera (beeswax),ingredient,1,kieckhefer_clm849,,80r,,"quote: ""iunges ymagines, conglutinando- 1 eas cum cera"""
cera virginam,cera virginam,ingredient,1,kieckhefer_clm849,,fols 29v-31v,,"quote: ""Recipe ceram virgineam, arte virginizatam"""
cera virginea,cera virginea,ingredient,1,kieckhefer_clm849,,44r (No. 25),,"quote: ""...quem in cera reconde ex una parte virginea."""
ceram nouam,ceram nouam,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
ceram virgineam (virgin wax),ceram virgineam (virgin wax),ingredient,1,kieckhefer_clm849,,"p. 266, No. 12",,"quote: ""Recipe ceram virgineam, arte virginizatam..."""
cerusa,cerusa,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
charcoal,charcoal,ingredient,1,liber_juratus,,209,,"quote: ""place pearls on glowing charcoal in the censer"""
christall stone,Christall stone,ingredient,1,scot_1584,,page 411/428,,description: A medium used to inclose a spirit
cinnamomum (cinnamon),Cinnamomum (cinnamon),ingredient,1,kieckhefer_clm849,,fol. 12v–13r,,function: used in suffumigation for dignity ritual
cinnamon,cinnamon,ingredient,2,kieckhefer_clm849,,no. 4,,role: fumigation agent for image
"cinnamon, long pepper, agrimony","cinnamon, long pepper, agrimony",ingredient,1,kieckhefer_clm849,,p. 97,,"quote: ""fumigate his image with these aromatics – cinnamon, long pepper and the herb agrimony"""
clear cold spring water,Clear cold spring water,ingredient,1,liber_juratus,,186,,"quote: ""He should take clear cold spring water, and wash himself..."""
cockatrice,the Cockatrice,ingredient,1,scot_1584,,Chapter 18/Page 354,,"description: A venomous serpent produced by melting arsenic and serpent poison in an egg. · nature: venomous, noisome, dangerous"
cornu ovinae corrigia,cornu ovinae corrigia,ingredient,1,kieckhefer_clm849,,fol 45r,,"quote: ""liga corrigiam ouinam, quam ad tres missas quas perfecte audiuisti tecum habuisti..."""
corpus christi,Corpus Christi,ingredient,1,kieckhefer_clm849,,"62r, 319v",,role: Eucharistic body invoked for binding power
corrigia ovina,corrigia ovina,ingredient,1,kieckhefer_clm849,,45r (No. 27-A),,"quote: ""...liga corrigiam ouinam, quam ad tres missas quas perfecte audiuisti tecum habuisti..."""
corselets,Corselets,ingredient,1,scot_1584,,Page 632,,"description: An ancient Danish charm of neck-laces, composed of thunderstones engraved with magical letters to resist noxious influences and lightning. "
costa (rib bone),costa (rib bone),ingredient,1,kieckhefer_clm849,,65v bis,,function: used in love ritual; inscribed with Bel et Ebal and burned
croceum,Croceum,ingredient,1,kieckhefer_clm849,,p. 341,,"quote: ""Die Jouis est olibanum aut croceum uel ei simile"""
cruor (blood),Cruor (Blood),ingredient,1,liber_juratus,,287-290,,purpose: Ink for Seal of God
crystals,crystals,ingredient,2,kieckhefer_clm849,,"29, 97, 98, 102, 103, 107|p. 29, 97, 98, 102, 103, 107 (index)",,function: used in scrying and divination
cyg,Cyg,ingredient,1,kieckhefer_clm849,,p. 341,,"quote: ""Die Martis est piper aut abana, cygb uel sibi simile"""
cygnus (cyg b),Cygnus (cyg b),ingredient,1,kieckhefer_clm849,,76r,,"quote: ""Die Martis est piper aut abana, cyg b uel sibi simile"""
documentum,Documentum,ingredient,1,kieckhefer_clm849,,304–305,,role: witness or proof required before consecration
elyotropia,elyotropia,ingredient,1,kieckhefer_clm849,,281 (No. 21),,"quote: ""...et impleb foramina oculorum semine cuiusdam herbe que elyotropia dicitur..."""
euforbia,euforbia,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
feather (from left wing of black hen),feather (from left wing of black hen),ingredient,1,kieckhefer_clm849,,,,role: writing implement for inscribing vessel
female dog (in heat),female dog (in heat),ingredient,1,kieckhefer_clm849,,p. 103,,role: source of parchment for love image
female dog in heat,female dog in heat,ingredient,1,kieckhefer_clm849,,,,role: source of parchment for love magic
figura crucis xl,figura crucis XL,ingredient,1,kieckhefer_clm849,,fol 44v,,"quote: ""et dimitte ibi tribus diebus. Tercia autem nocte, ante gallicinium..."""
fingernails,fingernails,ingredient,1,kieckhefer_clm849,,"29, 34, 96–8, 100, 103, 108–12, 115–6, 141, 142",,"quote: ""fingernails, 29, 34, 96–8, 100, 103, 108–12, 115–6, 141, 142"""
fire and salt,fire and salt,ingredient,1,kieckhefer_clm849,,experiment no. 15,,function: placed in jar #2 for flying throne ritual
frankincense,frankincense,ingredient,2,ars_notoria|kieckhefer_clm849,yes,46|experiment no. 11,Frankincense|frankincense,function: used in fumigation for invisibility ritual
"frankincense, myrrh, olibano (incense)","frankincense, myrrh, olibano (incense)",ingredient,1,kieckhefer_clm849,,p. 78–79,,"quote: ""...a vessel in which there is fire with frankincense (thus), myrrh and other incense (olibano)..."""
fumigation (suffumigation),fumigation (suffumigation),ingredient,1,kieckhefer_clm849,,"59, 73, 78, 84, 158, 159, 177–8, 186, 187",,"quote: ""fumigation (suffumigation), 59, 73, 78, 84, 158, 159, 177–8, 186, 187"""
funeral cloth,funeral cloth,ingredient,1,kieckhefer_clm849,,p. 91,,"quote: ""wrapped in a funeral cloth and buried"""
goat fat,goat fat,ingredient,1,kieckhefer_clm849,,,,"quote: ""seven herbs, the fat of a goat and the blood of a bat"""
green olive oil,green olive oil,ingredient,1,kieckhefer_clm849,,Greek papyri reference,,role: added to water for bowl divination
gummi arabicum,gummi arabicum,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
hairs (of woman),hairs (of woman),ingredient,1,kieckhefer_clm849,,,,"quote: """"the master must obtain hairs from the woman he wishes to seduce..."""""
heliotrope seed,heliotrope seed,ingredient,2,kieckhefer_clm849,,experiment no. 21|p. 79–80,,function: inserted into black cat’s eyes for invisibility ritual
henbane,henbane,ingredient,1,kieckhefer_clm849,,p. 100,,role: aphrodisiac herb
herba elyotropia,herba elyotropia,ingredient,1,kieckhefer_clm849,,fol 40v,,"quote: ""imple- foramina oculorum semine cuiusdam herbe que elyotropia dicitur..."""
herbs,Herbs,ingredient,1,kieckhefer_clm849,,"[58v, 59r]",,function: used in ritual power
holy water,holy water,ingredient,2,kieckhefer_clm849|scot_1584,yes,p.21|page 421,Holy water|holy water,description: Used in ritual purification and protection during book handling; Substance used in religious and exorcism rituals
hoopoe,hoopoe,ingredient,2,kieckhefer_clm849,,,,function: used to draw circle for love/fate ritual
hoopoe (bird),hoopoe (bird),ingredient,1,kieckhefer_clm849,,"Munich Handbook, CLM 849",,description: source of blood and heart for ritual writing
hoopoe blood,hoopoe blood,ingredient,1,kieckhefer_clm849,,58,,"quote: ""a diagram made with the blood of a hoopoe or a bat"""
hoopoe feather and blood,hoopoe feather and blood,ingredient,1,kieckhefer_clm849,,83,,"quote: ""If you draw it on a Friday with the feather of a hoopoe and with its blood on a freshly prepared sheet of parc"""
hoopoes,hoopoes,ingredient,2,kieckhefer_clm849,,"42, 47–50, 63, 66 n. 25, 75, 117, 157, 158, 187|p. 42, 47-50, 63, 66 n. 25, 75, 117, 157, 158, 187 (index)",,function: used in illusionist or divinatory experiments
horsehide,horsehide,ingredient,3,kieckhefer_clm849,,experiment no. 9|no. 9|p. 74–75,,function: material on which to inscribe protective circle
hostia sancta / inmaculata / conscripta / benedicta,Hostia sancta / inmaculata / conscripta / benedicta,ingredient,1,kieckhefer_clm849,,62r–v,,role: various forms of Eucharistic offering invoked
human blood,human blood,ingredient,1,kieckhefer_clm849,,experiment no. 21,,function: used to water plant for invisibility ritual
human blood (mixed with water),human blood (mixed with water),ingredient,1,kieckhefer_clm849,,p. 79–80,,"quote: ""...waters it for fifteen days with human blood mixed with water..."""
human bones and hair,human bones and hair,ingredient,1,kieckhefer_clm849,,p. 91,,"quote: ""The image should be fumigated with various substances, including human bones and hair"""
human rib (dead),human rib (dead),ingredient,1,kieckhefer_clm849,,21v,,"quote: ""fer tecum vnam [21v] costam hominis siue mulieris mortui, quam primo acuere debes..."""
ignis,Ignis,ingredient,1,kieckhefer_clm849,,[56r],,function: fire element that is quenched at divine names
ignis (fire),ignis (fire),ingredient,1,kieckhefer_clm849,,65v bis,,function: used to burn inscribed bone in love ritual
incense,incense,ingredient,3,kieckhefer_clm849|liber_juratus,yes,"131|22, 36-37, 39, 75, 131, 209, 213, 245, 249, 259, 263, 279, 295|nos. 11,36",Incense|incense,"quote: ""...incense and myrrh (no. 11); incense and myrrh in a thurible (no. 36)"""
incense (thus),Incense (Thus),ingredient,1,liber_juratus,,244,,"quote: ""habeas thus et thuribulum, in quo sint prune, et ponas thus super prunas"""
incense and myrrh,Incense and Myrrh,ingredient,1,kieckhefer_clm849,,67v–68v,,"quote: ""inposito thureg et mirra"""
incense mixture,Incense mixture,ingredient,1,liber_juratus,,37,,"quote: ""The Seal of God consecration specifies a mixture of amber, musk, aloe, white and red labdanum, mastic, frankin"""
indian wood,Indian wood,ingredient,2,kieckhefer_clm849,,no. 37m,,"quote: ""...fumigate the image with Indian wood and with red sandalwood..."""
ink made from blood,ink made from blood,ingredient,1,liber_juratus,,42,,"quote: ""include ink made from blood"""
lac et mel (milk and honey),Lac et mel (milk and honey),ingredient,1,kieckhefer_clm849,,fol. 18v,,function: sprinkled in air for castle ritual
lapides (from cemetery),lapides (from cemetery),ingredient,1,kieckhefer_clm849,,62v,,"quote: ""Circue cimiterium et collige tot lapides quot- sunt versus in psalmo Misereri mei deus"""
lapis mollis (soft stone),Lapis mollis (soft stone),ingredient,1,kieckhefer_clm849,,fol. 12r,,function: used for carving images in dignity ritual
lapis viosus,Lapis viosus,ingredient,1,kieckhefer_clm849,,fol. 14r,,function: used for hatred ritual; river stone
laurel leaves,laurel leaves,ingredient,1,garnier_1909,,p. 198,,"quote: ""Some used to eat the leaves of the laurel, which was thought to conduce to this state, from which it was calle"""
"lignum aloes, ambra, mirra, olibanus albus","lignum aloes, ambra, mirra, olibanus albus",ingredient,1,kieckhefer_clm849,,"fols 37v, 38v",,"quote: ""subfumiga... cum ligno aloes, ambra, et mirra, et olibano albo."""
lignum radim,Lignum radim,ingredient,1,kieckhefer_clm849,,p. 341,,"quote: ""Die Veneris est almastic aut lignum radim uel ei simile"""
linen cloth,linen cloth,ingredient,1,kieckhefer_clm849,,p. 97–98,,"quote: ""have a clean linen cloth, and wrap the image in it"""
long pepper,long pepper,ingredient,1,kieckhefer_clm849,,,,role: fumigation agent for image
lunae limatura,lunae limatura,ingredient,1,kieckhefer_clm849,,108v,,function: used in chemical prescription
mare,Mare,ingredient,1,kieckhefer_clm849,,[56r],,function: elemental force that responds to divine names
marrow of a dead man,marrow of a dead man,ingredient,1,kieckhefer_clm849,,experiment no. 8,,function: used for fumigation in ship ritual
marrow of a dead person,marrow of a dead person,ingredient,1,kieckhefer_clm849,,no. 8,,"quote: ""...with the marrow of a dead person (no. 8)"""
marrow of dead man,marrow of dead man,ingredient,1,kieckhefer_clm849,,p. 76,,"quote: ""...fumigates it with the marrow of a dead man."""
marrow of the dead,marrow of the dead,ingredient,1,kieckhefer_clm849,,21v,,"quote: ""suffumiga ipsum cum medulla mortui, vt dictum est."""
martyrum sanguis,Martyrum sanguis,ingredient,1,kieckhefer_clm849,,318r,,role: invoked as source of binding power
"mel, lac, vinum (mixed)","mel, lac, vinum (mixed)",ingredient,1,kieckhefer_clm849,,"fols 37v, 38v",,"quote: ""mel, lac, et vinum equaliter insimul mixtum in aerem aspergat..."""
mercurius crudus,mercurius crudus,ingredient,1,kieckhefer_clm849,,108v,,function: added to lunar solution
milk and honey,milk and honey,ingredient,1,kieckhefer_clm849,,,,"quote: ""taking milk and honey with you, some of which you must sprinkle in the air"""
monumentum (white shroud),monumentum (white shroud),ingredient,1,kieckhefer_clm849,,,,"quote: ""The reference to the monumentum , the white shroud, and Sunday morning before dawn all make it clear that this"""
moon,moon,ingredient,1,kieckhefer_clm849,,"24, 47, 51, 55, 59, 73, 76, 81, 105, 106, 114, 137, 177",,"quote: ""moon, 24, 47, 51, 55, 59, 73, 76, 81, 105, 106, 114, 137, 177"""
myrrh,myrrh,ingredient,5,kieckhefer_clm849,,"experiment no. 11|nos. 3,11,36|p. 104",Myrrh|myrrh,function: used in fumigation for invisibility ritual · role: fumigant in love magic ritual; used in fumigation of image
odee capre,Odee Capre,ingredient,1,kieckhefer_clm849,,p. 342,,"quote: ""Hece sunt suffumigia dierum septimane... si in die Saturni operare volueris ad ligandas lianas, erit suffumigi"""
oleum oliue (olive oil),oleum oliue (olive oil),ingredient,2,kieckhefer_clm849,,"49r, 50r|49v, 50r",,function: medium for anointing and inscribing · role: used to anoint boy’s hand or fingers
oleum olivae,oleum olivae,ingredient,3,kieckhefer_clm849,,"43v, 44r (No. 24, 25)|62v|fols 43v, 44r",,"quote: ""scribe in illo cum oleo oliue hec nomina: Hon, Hely..."""
olibano,olibano,ingredient,1,kieckhefer_clm849,,experiment no. 11,,function: used in fumigation for invisibility ritual
olibanum,Olibanum,ingredient,2,kieckhefer_clm849,,76r|p. 341,,"quote: ""Die Jouis est olibanum aut croceum uel ei simile"""
olive leaves/branch,Olive leaves/branch,ingredient,1,scot_1584,,throughout,,description: Used in rituals to find thieves or ward off spirits.
olive oil,olive oil,ingredient,4,kieckhefer_clm849,,"62v–65r|Multiple|p. 371 (97r), p. 376 (100r)",Olive Oil|olive oil,role: anointing medium for boy’s nails/hands; used to anoint boy’s fingernail
"onelf on, adonay, emanuel","Onelf On, Adonay, Emanuel...",ingredient,1,kieckhefer_clm849,,fol 41r,,function: inscribed for revelation
ovum,ovum,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
oxcroceum,oxcroceum,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
paper from female dog,paper from female dog,ingredient,1,kieckhefer_clm849,,fols 8r–11v,,description: carta factam de cane femina dum est in amore
pearls,pearls,ingredient,1,liber_juratus,,209,,"quote: ""place pearls on glowing charcoal in the censer"""
pepper,pepper,ingredient,1,kieckhefer_clm849,,"no. 4, Table E",,"quote: ""...pepper, abana [...]"""
perspective glasses,Perspective Glasses,ingredient,1,scot_1584,,Chapter 19/Page 355-357,,"description: Optical devices used to create illusions, such as making things appear far or near, or upside down."
piper,Piper,ingredient,1,kieckhefer_clm849,,p. 341,,"quote: ""Die Martis est piper aut abana, cygb uel sibi simile"""
piper (pepper),Piper (pepper),ingredient,1,kieckhefer_clm849,,76r,,"quote: ""Die Martis est piper aut abana, cyg b uel sibi simile"""
piper longum (long pepper),Piper longum (long pepper),ingredient,1,kieckhefer_clm849,,fol. 12v–13r,,function: used in suffumigation for dignity ritual
puluis buffonum,puluis buffonum,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
pulvis (powder),pulvis (powder),ingredient,1,kieckhefer_clm849,,50r,,function: inscribe spirit-binding marks
pulvis albus herbae (alba),pulvis albus herbae (alba),ingredient,1,kieckhefer_clm849,,fol 40v,,function: indicates efficacy of grain
ram (ritual animal),ram (ritual animal),ingredient,1,kieckhefer_clm849,,,,role: sacrificial animal for spirits
red blood (sangwine rubeo),Red blood (sangwine rubeo),ingredient,1,kieckhefer_clm849,,79v,,"quote: ""cum sangwine rubeo et involues earn in panno albo nouo"""
red bristles,red bristles,ingredient,1,kieckhefer_clm849,,,,"quote: """"three bristles of red hair, and you should have with you a knife with a white handle..."""""
red sandalwood,red sandalwood,ingredient,2,kieckhefer_clm849,,no. 37m,Red sandalwood|red sandalwood,"quote: ""...Indian wood and with red sandalwood"""
resin ash,resin ash,ingredient,1,kieckhefer_clm849,,Experiment no. 30,,"quote: ""obtains a powder by burning resin and collecting the ash from the bottom of a basin"""
resina alba (white resin),resina alba (white resin),ingredient,2,kieckhefer_clm849,,49v-50r|49v–50r,,function: ink for spirit binding · role: used in spirit manifestation ritual
rib bone,rib bone,ingredient,1,kieckhefer_clm849,,p. 112–113,,"quote: """"The magician compels a woman to passionate love by writing the names of the ‘infernal spirits’ Bel and Ebal o"""
rib of a dead man or woman,rib of a dead man or woman,ingredient,1,kieckhefer_clm849,,experiment no. 8,,function: used to trace ship circle
rib of dead person,rib of dead person,ingredient,1,kieckhefer_clm849,,p. 76,,"quote: ""...with the rib of a dead man or woman... sharpened point on the rib, he uses it to trace a circle..."""
roranus,roranus,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
sacramentum crucis,Sacramentum crucis,ingredient,1,kieckhefer_clm849,,"318r, 60v",,role: symbolic and spiritual authority invoked
sacrificium galli albi,sacrificium galli albi,ingredient,1,kieckhefer_clm849,,fol 44v,,"quote: ""repone earn per noctem cum sacrificio galli albi in quadruuio..."""
saffron,saffron,ingredient,4,kieckhefer_clm849,,no. 3|p. 104,Saffron|saffron,role: fumigant in love magic ritual; used in fumigation of image
sal commune,sal commune,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
sal nitri,sal nitri,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
sal petri,sal petri,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
salis petri (saltpeter),salis petri (saltpeter),ingredient,1,kieckhefer_clm849,,fol. 108v,,"quote: ""Item recipe salis petri, vitrioli, rorani"""
sanguis columbae,sanguis columbae,ingredient,1,kieckhefer_clm849,,108r,,function: used to draw protective figure in invisibility ritual
sanguis galli albi,sanguis galli albi,ingredient,1,kieckhefer_clm849,,fol 44v,,"quote: ""fac super istam clauem antequam posueris subtus terrain hanc figuram de sangwine galli albi."""
sanguis humanus,sanguis humanus,ingredient,1,kieckhefer_clm849,,281 (No. 21),,"quote: ""...rigad cum sangwine humano et aqua commistis..."""
sanguis humanus + aqua mixta,sanguis humanus + aqua mixta,ingredient,1,kieckhefer_clm849,,fol 40v,,"quote: ""eam riga- cum sangwine humano et aqua commistis..."""
sangwine (blood),sangwine (blood),ingredient,1,kieckhefer_clm849,,232–234,,"quote: ""...scribi debet per te cum predicto sangwine..."""
sangwine vespertilionis,sangwine vespertilionis,ingredient,1,kieckhefer_clm849,,fol 36r-v,,"quote: ""hec nomina cum sangwine vespertilionis"""
sator-arepo square,SATOR-AREPO square,ingredient,1,kieckhefer_clm849,,p. 96,,"quote: ""One fifteenth-century compilation prescribes writing out the SATOR-AREPO square on virgin parchment with the b"""
semen orobi,semen orobi,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
serabiuum,serabiuum,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
serpents and snakes,Serpents and Snakes,ingredient,1,scot_1584,,,,"description: Creatures often the subject of charms and enchantments in the text, discussed as being resistant to magic or susceptible to susceptibility. · role: subject of enchantment"
seven herbs,seven herbs,ingredient,2,kieckhefer_clm849,,intro paragraph,,function: component of unguentum pharelis
silver (argentum),Silver (argentum),ingredient,1,kieckhefer_clm849,,79v,,"quote: ""Prima hora diei fac ymaginem canis ex argento uel stanno- puro"""
silver or tin,silver or tin,ingredient,2,kieckhefer_clm849,,fols 11v–13v,,role: material for casting images
silver or tin (for casting),silver or tin (for casting),ingredient,1,kieckhefer_clm849,,p. 97,,"quote: ""on the first hour of Sunday under a waxing moon take silver or tin and melt it over a fire"""
spatula arietis dextram (right shoulder blade of ram),spatula arietis dextram (right shoulder blade of ram),ingredient,1,kieckhefer_clm849,,47v,,function: scrying surface
st john’s wort,St John’s wort,ingredient,1,kieckhefer_clm849,,p. 100,,role: aphrodisiac herb
stones,Stones,ingredient,1,kieckhefer_clm849,,"[58v, 59r]",,function: used in ritual power
stones from cemetery,stones from cemetery,ingredient,1,kieckhefer_clm849,,"CLM 849, experiment no. 33",,function: used to form circle for experiment no. 33; number equals verses in Psalm 50
suffumigatio (fumigation),suffumigatio (fumigation),ingredient,1,kieckhefer_clm849,,"p. 264–265, No. 11",,"quote: ""...vas in quo sit ignis cum thure, mirra, et olibano..."""
suffumigation ingredients (amber / musk / aloe / labdanum / mastic / frankincense / pearls),Suffumigation Ingredients (Amber / Musk / Aloe / Labdanum / Mastic / Frankincense / Pearls),ingredient,1,liber_juratus,,75-76,,"quote: ""suffumigetur hoc sigillum ambra, musco, aloe, lapdano albo et rubeo."""
sulfur (sulphur),Sulfur (Sulphur),ingredient,1,liber_juratus,,280-281,,purpose: Suffumigation
sulfur smoke,sulfur smoke,ingredient,1,kieckhefer_clm849,,fols 13v–15r,,"quote: ""suffumiga eum cum fumo sulphuris"""
sulphur,Sulphur,ingredient,5,kieckhefer_clm849|scot_1584,yes,"76r|fol. 14v|no. 5, Table E|p. 341|page 314-315",Sulphur|sulphur,description: Used for purification and driving out spirits. · function: used in suffumigation for hatred ritual
terebentina,terebentina,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
terra,Terra,ingredient,1,kieckhefer_clm849,,[56r],,function: earth element that trembles at divine names
theriac,Theriac,ingredient,1,kieckhefer_clm849,,p. 343,,"quote: ""cum sangwine rubeo et involues eam in panno albo nouo"""
thure et mirra,Thure et mirra,ingredient,1,kieckhefer_clm849,,68r,,"quote: ""accipe turribulum, inposito thure £ et mirra, [et] circuas 1 - 1 ex- [68r] teriora circuli"""
"thure, mirra, et olibano","thure, mirra, et olibano",ingredient,1,kieckhefer_clm849,,fols 28r-29v,,"quote: ""habeas vas in quo sit ignis cum thure, mirra, et olibano"""
thurus albus,thurus albus,ingredient,1,kieckhefer_clm849,,108v,,function: component of chemical mixture
thus odee capre,Thus Odee Capre,ingredient,1,kieckhefer_clm849,,76r,,"quote: ""Et si in die Saturni operare volueris ad ligandas lignas,- erit suffumigium thus Odee Capre"""
tin (stannum),Tin (stannum),ingredient,1,kieckhefer_clm849,,79v,,"quote: ""Prima hora diei fac ymaginem canis ex argento uel stanno- puro"""
tooth of white horse,tooth of white horse,ingredient,2,kieckhefer_clm849,,experiment no. 9|p. 74–75,,function: used to inscribe protective circle
travel ointment,Travel ointment,ingredient,1,kieckhefer_clm849,,unspecified,,"quote: ""to travel quickly wherever one wishes, one should make an ointment from seven herbs, the fat of a goat and the"""
unguentum pharelis,unguentum pharelis,ingredient,2,kieckhefer_clm849,,intro paragraph|unspecified,Unguentum pharelis|unguentum pharelis,function: salve used for magical illusion
valerian,valerian,ingredient,1,kieckhefer_clm849,,p. 100,,role: aphrodisiac herb
